Date,Open,High,Low,Close,Volume
1/10/2021,18.08,18.08,17.73,17.99,20367468
30/9/2021,17.69,18.22,17.65,18.05,22321007
29/9/2021,18.04,18.15,17.56,17.58,23570944
28/9/2021,17.81,18.12,17.57,18.1,26643150
27/9/2021,18.06,18.255,17.87,17.95,20717319
24/9/2021,18.09,18.27,18.03,18.03,13371205
23/9/2021,18.3,18.38,18.09,18.23,19733566
22/9/2021,18.55,18.81,18.405,18.45,17054580
21/9/2021,18.8,18.85,18.48,18.49,18250791
20/9/2021,18.23,18.65,18.095,18.65,23097592
17/9/2021,18.48,18.49,18.26,18.36,23316386
16/9/2021,18.98,18.98,18.4,18.51,40452090
15/9/2021,19.48,19.67,19.33,19.36,15030996
14/9/2021,19.63,19.8199,19.45,19.5,16122781
13/9/2021,19.39,19.69,19.23,19.47,15877267
10/9/2021,19.69,19.76,19.35,19.35,14659499
9/9/2021,20.01,20.01,19.62,19.69,16143250
8/9/2021,19.82,19.9799,19.61,19.86,19809087
7/9/2021,20.15,20.16,19.73,19.85,20123355
3/9/2021,20.18,20.51,20.05,20.3,20241305
2/9/2021,19.83,19.9,19.6845,19.87,13201105
1/9/2021,20.2,20.22,19.8,19.81,13679670
31/8/2021,19.89,20.11,19.83,20.07,11989987
30/8/2021,20.24,20.25,19.72,19.81,13046820
27/8/2021,19.72,20.34,19.64,20.24,14377955
26/8/2021,19.63,19.87,19.6,19.73,9865037
25/8/2021,19.95,19.97,19.695,19.85,11031146
24/8/2021,20.26,20.27,19.9801,20.12,12228816
23/8/2021,19.58,20.26,19.32,20.15,22050432
20/8/2021,19.01,19.4,18.76,19.23,12678716
19/8/2021,19.38,19.46,19.06,19.13,19626942
18/8/2021,20.03,20.03,19.39,19.46,21364425
17/8/2021,20.14,20.235,19.82,19.97,15532428
16/8/2021,20.11,20.36,20.0373,20.19,15403285
13/8/2021,20.3,20.495,20.13,20.27,13089023
12/8/2021,20.21,20.23,19.87,20.05,12273612
11/8/2021,20.07,20.5,20.03,20.31,15127659
10/8/2021,20.48,20.57,19.84,19.84,26957088
9/8/2021,20.49,20.8299,20.4031,20.56,24458947
6/8/2021,20.75,21,20.35,20.8,29729070
5/8/2021,21.66,21.66,21.21,21.26,11553851
4/8/2021,22.01,22.3,21.62,21.65,16792048
3/8/2021,21.55,21.77,21.535,21.72,10743919
2/8/2021,21.78,21.79,21.41,21.57,12234368
30/7/2021,21.69,21.99,21.59,21.77,10183955
29/7/2021,21.74,21.99,21.59,21.81,16337266
28/7/2021,20.97,21.37,20.91,21.34,11952496
27/7/2021,20.86,21.06,20.68,20.99,10501603
26/7/2021,20.66,21.045,20.57,20.82,10282537
23/7/2021,20.65,20.78,20.43,20.63,10308500
22/7/2021,20.78,20.87,20.52,20.74,10176942
21/7/2021,20.57,21.01,20.53,20.9,12057375
20/7/2021,20.67,21.0556,20.545,20.72,16237141
19/7/2021,20.63,20.845,20.265,20.54,20149372
16/7/2021,21.17,21.21,20.71,20.86,17418065
15/7/2021,21.31,21.35,20.95,21.27,12845381
14/7/2021,21.64,21.65,21.2,21.33,13168210
13/7/2021,20.92,21.53,20.9068,21.14,14865202
12/7/2021,21,21.2682,20.77,20.83,10528137
9/7/2021,20.8,21.21,20.76,21.13,10654440
8/7/2021,21.21,21.29,20.57,20.72,14453927
7/7/2021,21.41,21.41,21.03,21.19,9319982
6/7/2021,21.11,21.3599,20.98,21.29,20210068
2/7/2021,20.82,20.96,20.5901,20.79,10721841
1/7/2021,20.93,20.94,20.5,20.58,12980089
30/6/2021,20.7,20.81,20.46,20.68,10543822
29/6/2021,20.42,20.68,20.29,20.53,12433580
28/6/2021,20.92,21.0417,20.54,20.7,12068635
